,Albanian,Arabic,Basque,Bulgarian,Catalan,Chinese,Croatian,Czech,Danish,Dutch,Estonian,English,Finnish,French,Frisian,Friulian,Galician,Greek,German,Hungarian,Irish/Gaelic,Italian,Japanese,Kurdish,Latvian,Lithuanian,Low German,Luxembourgish,Maltese,Occitan,Polish,Portuguese,Romanian,Romany,Russian,Sami,Sardinian,Serbian/Bosnian/Montenegrin,Slovak,Slovenian,Spanish,Swedish,Turkish,Ukrainian,Yiddish,Hindi,Korean,Scottish Gaelic,Urdu,Welsh
Irish/Gaelic,0.7531999945640564,1.0,0.9724,0.9014000296592712,0.9236999750137329,1.0,0.9086999893188477,0.9014000296592712,0.9014000296592712,0.9196000099182129,1.0,0.9196000099182129,1.0,0.930400013923645,0.9086999893188477,0.927299976348877,0.927299976348877,0.8919000029563904,0.9014000296592712,1.0,0.0,0.9196000099182129,1.0,0.9014000296592712,0.8600000143051147,0.8600000143051147,0.9146999716758728,0.9014000296592712,1.0,0.927299976348877,0.8919000029563904,0.927299976348877,0.9146999716758728,0.8790000081062317,0.8790000081062317,1.0,0.8919000029563904,0.9086999893188477,0.8919000029563904,0.8919000029563904,0.930400013923645,0.9014000296592712,1.0,0.8919000029563904,0.9086999893188477,0.9086999893188477,1.0,0.34450000524520874,0.9086999893188477,0.4390000104904175
Italian,0.7836999893188477,1.0,0.9687,0.913100004196167,0.4717000126838684,1.0,0.9196000099182129,0.913100004196167,0.913100004196167,0.929099977016449,1.0,0.929099977016449,1.0,0.5295000076293945,0.9196000099182129,0.5031999945640564,0.5031999945640564,0.904699981212616,0.913100004196167,1.0,0.9196000099182129,0.0,1.0,0.913100004196167,0.8766999840736389,0.8766999840736389,0.9247999787330627,0.913100004196167,1.0,0.5031999945640564,0.904699981212616,0.5031999945640564,0.5,0.8934000134468079,0.8934000134468079,1.0,0.46459999680519104,0.9196000099182129,0.904699981212616,0.904699981212616,0.5295000076293945,0.913100004196167,1.0,0.904699981212616,0.9196000099182129,0.9196000099182129,1.0,0.9196000099182129,0.9196000099182129,0.913100004196167
Japanese,1.0,1.0,0.9819,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00019999999494757503,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kurdish,0.7322999835014343,1.0,0.9744,0.8934000134468079,0.9175999760627747,1.0,0.9014000296592712,0.8934000134468079,0.8934000134468079,0.913100004196167,1.0,0.913100004196167,1.0,0.9247999787330627,0.9014000296592712,0.9214000105857849,0.9214000105857849,0.8830999732017517,0.8934000134468079,1.0,0.9014000296592712,0.913100004196167,1.0,0.00019999999494757503,0.8485000133514404,0.8485000133514404,0.907800018787384,0.8934000134468079,1.0,0.9214000105857849,0.8830999732017517,0.9214000105857849,0.907800018787384,0.7322999835014343,0.8690999746322632,1.0,0.8830999732017517,0.9014000296592712,0.8830999732017517,0.8830999732017517,0.9247999787330627,0.8934000134468079,1.0,0.8830999732017517,0.9014000296592712,0.8003000020980835,1.0,0.9014000296592712,0.8003000020980835,0.8934000134468079
Latvian,0.6082000136375427,1.0,0.9819,0.6875,0.8830999732017517,1.0,0.7124999761581421,0.6875,0.8485000133514404,0.8766999840736389,1.0,0.8766999840736389,1.0,0.8934000134468079,0.8600000143051147,0.8885999917984009,0.8885999917984009,0.8337000012397766,0.8485000133514404,1.0,0.8600000143051147,0.8766999840736389,1.0,0.8485000133514404,0.00019999999494757503,0.00019999999494757503,0.8690999746322632,0.8485000133514404,1.0,0.8885999917984009,0.6545000076293945,0.8885999917984009,0.8690999746322632,0.8136000037193298,0.6082000136375427,1.0,0.8337000012397766,0.7124999761581421,0.6545000076293945,0.6545000076293945,0.8934000134468079,0.8485000133514404,1.0,0.6545000076293945,0.8600000143051147,0.8600000143051147,1.0,0.8600000143051147,0.8600000143051147,0.8485000133514404
Lithuanian,0.6082000136375427,1.0,0.9819,0.6875,0.8830999732017517,1.0,0.7124999761581421,0.6875,0.8485000133514404,0.8766999840736389,1.0,0.8766999840736389,1.0,0.8934000134468079,0.8600000143051147,0.8885999917984009,0.8885999917984009,0.8337000012397766,0.8485000133514404,1.0,0.8600000143051147,0.8766999840736389,1.0,0.8485000133514404,0.00019999999494757503,0.00019999999494757503,0.8690999746322632,0.8485000133514404,1.0,0.8885999917984009,0.6545000076293945,0.8885999917984009,0.8690999746322632,0.8136000037193298,0.6082000136375427,1.0,0.8337000012397766,0.7124999761581421,0.6545000076293945,0.6545000076293945,0.8934000134468079,0.8485000133514404,1.0,0.6545000076293945,0.8600000143051147,0.8600000143051147,1.0,0.8600000143051147,0.8600000143051147,0.8485000133514404
Low German,0.7699000239372253,1.0,0.9705,0.907800018787384,0.9286999702453613,1.0,0.9146999716758728,0.907800018787384,0.714900016784668,0.6875,1.0,0.598800003528595,1.0,0.9348999857902527,0.5342000126838684,0.9319999814033508,0.9319999814033508,0.8988999724388123,0.6082000136375427,1.0,0.9146999716758728,0.9247999787330627,1.0,0.907800018787384,0.8690999746322632,0.8690999746322632,0.0003000000142492354,0.6082000136375427,1.0,0.9319999814033508,0.8988999724388123,0.9319999814033508,0.920199990272522,0.886900007724762,0.886900007724762,1.0,0.8988999724388123,0.9146999716758728,0.8988999724388123,0.8988999724388123,0.9348999857902527,0.714900016784668,1.0,0.8988999724388123,0.640999972820282,0.9146999716758728,1.0,0.9146999716758728,0.9146999716758728,0.907800018787384
Luxembourgish,0.7322999835014343,1.0,0.9744,0.8934000134468079,0.9175999760627747,1.0,0.9014000296592712,0.8934000134468079,0.666700005531311,0.5235999822616577,1.0,0.6335999965667725,1.0,0.9247999787330627,0.5764999985694885,0.9214000105857849,0.9214000105857849,0.8830999732017517,0.00019999999494757503,1.0,0.9014000296592712,0.913100004196167,1.0,0.8934000134468079,0.8485000133514404,0.8485000133514404,0.6082000136375427,0.00019999999494757503,1.0,0.9214000105857849,0.8830999732017517,0.9214000105857849,0.907800018787384,0.8690999746322632,0.8690999746322632,1.0,0.8830999732017517,0.9014000296592712,0.8830999732017517,0.8830999732017517,0.9247999787330627,0.666700005531311,1.0,0.8830999732017517,0.5764999985694885,0.9014000296592712,1.0,0.9014000296592712,0.9014000296592712,0.8934000134468079
Maltese,1.0,0.35899999737739563,0.9724,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occitan,0.8050000071525574,1.0,0.9654,0.9214000105857849,0.19499999284744263,1.0,0.927299976348877,0.9214000105857849,0.9214000105857849,0.9358999729156494,1.0,0.9358999729156494,1.0,0.4269999861717224,0.927299976348877,0.38999998569488525,0.2736000120639801,0.9139000177383423,0.9214000105857849,1.0,0.927299976348877,0.5031999945640564,1.0,0.9214000105857849,0.8885999917984009,0.8885999917984009,0.9319999814033508,0.9214000105857849,1.0,0.0,0.9139000177383423,0.2736000120639801,0.5582000017166138,0.9036999940872192,0.9036999940872192,1.0,0.5289999842643738,0.927299976348877,0.9139000177383423,0.9139000177383423,0.3276999890804291,0.9214000105857849,1.0,0.9139000177383423,0.927299976348877,0.927299976348877,1.0,0.927299976348877,0.927299976348877,0.9214000105857849
Polish,0.704800009727478,1.0,0.9766,0.6309999823570251,0.9096999764442444,1.0,0.6614000201225281,0.4787999987602234,0.8830999732017517,0.904699981212616,1.0,0.904699981212616,1.0,0.9175999760627747,0.8919000029563904,0.9139000177383423,0.9139000177383423,0.8718000054359436,0.8830999732017517,1.0,0.8919000029563904,0.904699981212616,1.0,0.8830999732017517,0.6545000076293945,0.6545000076293945,0.8988999724388123,0.8830999732017517,1.0,0.9139000177383423,0.00019999999494757503,0.9139000177383423,0.8988999724388123,0.8564000129699707,0.5318999886512756,1.0,0.8718000054359436,0.6614000201225281,0.4097000062465668,0.5903000235557556,0.9175999760627747,0.8830999732017517,1.0,0.5903000235557556,0.8919000029563904,0.8919000029563904,1.0,0.8919000029563904,0.8919000029563904,0.8830999732017517
Portuguese,0.8050000071525574,1.0,0.9654,0.9214000105857849,0.19499999284744263,1.0,0.927299976348877,0.9214000105857849,0.9214000105857849,0.9358999729156494,1.0,0.9358999729156494,1.0,0.4269999861717224,0.927299976348877,0.38999998569488525,0.0,0.9139000177383423,0.9214000105857849,1.0,0.927299976348877,0.5031999945640564,1.0,0.9214000105857849,0.8885999917984009,0.8885999917984009,0.9319999814033508,0.9214000105857849,1.0,0.2736000120639801,0.9139000177383423,0.0,0.5582000017166138,0.9036999940872192,0.9036999940872192,1.0,0.5289999842643738,0.927299976348877,0.9139000177383423,0.9139000177383423,0.18639999628067017,0.9214000105857849,1.0,0.9139000177383423,0.927299976348877,0.927299976348877,1.0,0.927299976348877,0.927299976348877,0.9214000105857849
Romanian,0.7699000239372253,1.0,0.9705,0.907800018787384,0.5318999886512756,1.0,0.9146999716758728,0.907800018787384,0.907800018787384,0.9247999787330627,1.0,0.9247999787330627,1.0,0.5803999900817871,0.9146999716758728,0.5582000017166138,0.5582000017166138,0.8988999724388123,0.907800018787384,1.0,0.9146999716758728,0.5,1.0,0.907800018787384,0.8690999746322632,0.8690999746322632,0.920199990272522,0.907800018787384,1.0,0.5582000017166138,0.8988999724388123,0.5582000017166138,0.0003000000142492354,0.886900007724762,0.886900007724762,1.0,0.4196000099182129,0.9146999716758728,0.8988999724388123,0.8988999724388123,0.5803999900817871,0.907800018787384,1.0,0.8988999724388123,0.9146999716758728,0.9146999716758728,1.0,0.9146999716758728,0.9146999716758728,0.907800018787384
Romany,0.666700005531311,1.0,0.9791,0.8690999746322632,0.8988999724388123,1.0,0.8790000081062317,0.8690999746322632,0.8690999746322632,0.8934000134468079,1.0,0.8934000134468079,1.0,0.907800018787384,0.8790000081062317,0.9036999940872192,0.9036999940872192,0.8564000129699707,0.8690999746322632,1.0,0.8790000081062317,0.8934000134468079,1.0,0.7322999835014343,0.8136000037193298,0.8136000037193298,0.886900007724762,0.8690999746322632,1.0,0.9036999940872192,0.8564000129699707,0.9036999940872192,0.886900007724762,0.0,0.8391000032424927,1.0,0.8564000129699707,0.8790000081062317,0.8564000129699707,0.8564000129699707,0.907800018787384,0.8690999746322632,1.0,0.8564000129699707,0.8790000081062317,0.4544000029563904,1.0,0.8790000081062317,0.4544000029563904,0.8690999746322632
Russian,0.666700005531311,1.0,0.9791,0.5803999900817871,0.8988999724388123,1.0,0.6161999702453613,0.5803999900817871,0.8690999746322632,0.8934000134468079,1.0,0.8934000134468079,1.0,0.907800018787384,0.8790000081062317,0.9036999940872192,0.9036999940872192,0.8564000129699707,0.8690999746322632,1.0,0.8790000081062317,0.8934000134468079,1.0,0.8690999746322632,0.6082000136375427,0.6082000136375427,0.886900007724762,0.8690999746322632,1.0,0.9036999940872192,0.5318999886512756,0.9036999940872192,0.886900007724762,0.8391000032424927,0.0,1.0,0.8564000129699707,0.6161999702453613,0.5318999886512756,0.5318999886512756,0.907800018787384,0.8690999746322632,1.0,0.295199990272522,0.8790000081062317,0.8790000081062317,1.0,0.8790000081062317,0.8790000081062317,0.8690999746322632
Sami,1.0,1.0,0.9791,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7699000239372253,1.0,0.8136000037193298,1.0,1.0,1.0,1.0,1.0,1.0,0.666700005531311,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Sardinian,0.704800009727478,1.0,0.9766,0.8830999732017517,0.5,1.0,0.8919000029563904,0.8830999732017517,0.8830999732017517,0.904699981212616,1.0,0.904699981212616,1.0,0.5533000230789185,0.8919000029563904,0.5289999842643738,0.5289999842643738,0.8718000054359436,0.8830999732017517,1.0,0.8919000029563904,0.46459999680519104,1.0,0.8830999732017517,0.8337000012397766,0.8337000012397766,0.8988999724388123,0.8830999732017517,1.0,0.5289999842643738,0.8718000054359436,0.5289999842643738,0.4196000099182129,0.8564000129699707,0.8564000129699707,1.0,0.00019999999494757503,0.8919000029563904,0.8718000054359436,0.8718000054359436,0.5533000230789185,0.8830999732017517,1.0,0.8718000054359436,0.8919000029563904,0.8919000029563904,1.0,0.8919000029563904,0.8919000029563904,0.8830999732017517
